item_id,sample_id,task,target,choice_count,character_count,input_sha256,normalized_sha256
KUAKE-QIC:dev-10167,dev-10167,KUAKE-QIC,注意事项,8,80,bbabbf6c289035f1fa6d78970dd2bb1b53832b6edf60f1911cfad776404a9a96,12df638f033ffdedf2f89560e1d535e4daa806d9b5329f21bf96cc8cf617f527
KUAKE-QIC:dev-10291,dev-10291,KUAKE-QIC,注意事项,10,72,5c986d46d00e46243772e5e2b6544c7bc1c793fcea882ffaaaf05f7b19e9124e,af6fa24c34730e8a82e0cc880aacfc7cbbd313c197a51a4096ad7855bce04f8e
KUAKE-QIC:dev-10337,dev-10337,KUAKE-QIC,后果表述,11,74,58f343e22491adc4f5cb1a6ed594d9be69229cfe316d35e23d8ed5549d39458b,e9045b584dde7b571bb152aec2e04eab5f93013c39cfea2cb6008c8b5777a3a3
KUAKE-QIC:dev-10343,dev-10343,KUAKE-QIC,后果表述,8,70,251baa7ba1d5a2a8a29d7416930dc7978615aa024edc94297a7c8d85aeed4240,6cd2cec2b745968ac7932bd26b8c4c3f58b5f8e5128914f6dfa4cf1b773e48d6
KUAKE-QIC:dev-10349,dev-10349,KUAKE-QIC,后果表述,8,72,8a15952d2c51f201415a5f191cf576c76044a90eabe77db614410164c79595ec,904ade801cb4f061bc0e4b56a6e7bc48cb52e7c9e93d96d67dc1ea89b54e79cf
KUAKE-QIC:dev-10413,dev-10413,KUAKE-QIC,治疗方案,8,68,06fde6036bf90214c96388a7db9be1380e9a3b6c4b4abd1285b1d27941276c9f,ffd9953c928eada5685075d501ec91b0af2c854c16ba28e3240f99e568c288dd
KUAKE-QIC:dev-10417,dev-10417,KUAKE-QIC,治疗方案,10,85,da7a370a5bd95ba1912da3840016ebb38fb7e3f48cdaadb0959f6d0298f69034,6925a57dbaa327f8848414edf20109fcdc1bffa4b7445d2f135002cdf2ef7c22
KUAKE-QIC:dev-10435,dev-10435,KUAKE-QIC,医疗费用,8,77,5ce11a9ac92cf4439a638a5cb3611ab00465afc8ff3cadba1a95deece551e7be,e182fae9f506efcf14cad477276c465dad58477d9183ba544a7ac89cb6b8e282
KUAKE-QIC:dev-10493,dev-10493,KUAKE-QIC,疾病描述,9,91,c60b0d1461c57638f24a48b3fbc9a3cf6268e31b2215bb108f2eb74a6c4af786,1a9b8c50c8cd91ece24709b63925d0b0fdfe1a145e7093fd7dd9cd04478ad125
KUAKE-QIC:dev-10502,dev-10502,KUAKE-QIC,疾病描述,10,106,b13a0d20ad950ec126f4a9fac8fd928232762c40cad14009a6c13b2b152567e4,c7b0b633ba9a13a4c4558bc6f13ba1a64d64e7a9ba1007b47b48e3d1321e06d1
