task,strategy,target,prediction,n,row_fraction
KUAKE-QIC,direct,功效作用,功效作用,14,0.35
KUAKE-QIC,direct,功效作用,医疗费用,8,0.2
KUAKE-QIC,direct,功效作用,治疗方案,12,0.3
KUAKE-QIC,direct,功效作用,注意事项,6,0.15
KUAKE-QIC,direct,医疗费用,功效作用,1,0.025
KUAKE-QIC,direct,医疗费用,医疗费用,39,0.975
KUAKE-QIC,direct,后果表述,功效作用,1,0.025
KUAKE-QIC,direct,后果表述,医疗费用,12,0.3
KUAKE-QIC,direct,后果表述,后果表述,5,0.125
KUAKE-QIC,direct,后果表述,就医建议,7,0.175
KUAKE-QIC,direct,后果表述,指标解读,1,0.025
KUAKE-QIC,direct,后果表述,治疗方案,1,0.025
KUAKE-QIC,direct,后果表述,注意事项,6,0.15
KUAKE-QIC,direct,后果表述,疾病描述,1,0.025
KUAKE-QIC,direct,后果表述,非上述类型,6,0.15
KUAKE-QIC,direct,就医建议,医疗费用,10,0.25
KUAKE-QIC,direct,就医建议,就医建议,16,0.4
KUAKE-QIC,direct,就医建议,治疗方案,12,0.3
KUAKE-QIC,direct,就医建议,疾病描述,2,0.05
KUAKE-QIC,direct,指标解读,医疗费用,10,0.25
KUAKE-QIC,direct,指标解读,就医建议,1,0.025
KUAKE-QIC,direct,指标解读,指标解读,22,0.55
KUAKE-QIC,direct,指标解读,疾病描述,3,0.075
KUAKE-QIC,direct,指标解读,病情诊断,3,0.075
KUAKE-QIC,direct,指标解读,非上述类型,1,0.025
KUAKE-QIC,direct,治疗方案,医疗费用,7,0.175
KUAKE-QIC,direct,治疗方案,就医建议,5,0.125
KUAKE-QIC,direct,治疗方案,治疗方案,27,0.675
KUAKE-QIC,direct,治疗方案,非上述类型,1,0.025
KUAKE-QIC,direct,注意事项,医疗费用,15,0.375
KUAKE-QIC,direct,注意事项,就医建议,6,0.15
KUAKE-QIC,direct,注意事项,指标解读,1,0.025
KUAKE-QIC,direct,注意事项,治疗方案,4,0.1
KUAKE-QIC,direct,注意事项,注意事项,13,0.325
KUAKE-QIC,direct,注意事项,非上述类型,1,0.025
KUAKE-QIC,direct,疾病描述,医疗费用,5,0.125
KUAKE-QIC,direct,疾病描述,疾病描述,35,0.875
KUAKE-QIC,direct,病因分析,医疗费用,4,0.1
KUAKE-QIC,direct,病因分析,就医建议,1,0.025
KUAKE-QIC,direct,病因分析,指标解读,2,0.05
KUAKE-QIC,direct,病因分析,治疗方案,2,0.05
KUAKE-QIC,direct,病因分析,注意事项,1,0.025
KUAKE-QIC,direct,病因分析,疾病描述,6,0.15
KUAKE-QIC,direct,病因分析,病因分析,23,0.575
KUAKE-QIC,direct,病因分析,病情诊断,1,0.025
KUAKE-QIC,direct,病情诊断,医疗费用,10,0.25
KUAKE-QIC,direct,病情诊断,后果表述,1,0.025
KUAKE-QIC,direct,病情诊断,就医建议,6,0.15
KUAKE-QIC,direct,病情诊断,指标解读,1,0.025
KUAKE-QIC,direct,病情诊断,注意事项,1,0.025
KUAKE-QIC,direct,病情诊断,疾病描述,12,0.3
KUAKE-QIC,direct,病情诊断,病因分析,8,0.2
KUAKE-QIC,direct,病情诊断,病情诊断,1,0.025
KUAKE-QIC,direct,非上述类型,功效作用,1,0.025
KUAKE-QIC,direct,非上述类型,医疗费用,17,0.425
KUAKE-QIC,direct,非上述类型,就医建议,8,0.2
KUAKE-QIC,direct,非上述类型,指标解读,1,0.025
KUAKE-QIC,direct,非上述类型,治疗方案,3,0.075
KUAKE-QIC,direct,非上述类型,注意事项,1,0.025
KUAKE-QIC,direct,非上述类型,疾病描述,3,0.075
KUAKE-QIC,direct,非上述类型,病情诊断,3,0.075
KUAKE-QIC,direct,非上述类型,非上述类型,3,0.075
KUAKE-QIC,rubric,功效作用,功效作用,5,0.125
KUAKE-QIC,rubric,功效作用,治疗方案,2,0.05
KUAKE-QIC,rubric,功效作用,注意事项,2,0.05
KUAKE-QIC,rubric,功效作用,非上述类型,31,0.775
KUAKE-QIC,rubric,医疗费用,医疗费用,31,0.775
KUAKE-QIC,rubric,医疗费用,非上述类型,9,0.225
KUAKE-QIC,rubric,后果表述,非上述类型,40,1.0
KUAKE-QIC,rubric,就医建议,就医建议,4,0.1
KUAKE-QIC,rubric,就医建议,治疗方案,1,0.025
KUAKE-QIC,rubric,就医建议,非上述类型,35,0.875
KUAKE-QIC,rubric,指标解读,非上述类型,40,1.0
KUAKE-QIC,rubric,治疗方案,治疗方案,9,0.225
KUAKE-QIC,rubric,治疗方案,非上述类型,31,0.775
KUAKE-QIC,rubric,注意事项,注意事项,5,0.125
KUAKE-QIC,rubric,注意事项,非上述类型,35,0.875
KUAKE-QIC,rubric,疾病描述,疾病描述,5,0.125
KUAKE-QIC,rubric,疾病描述,非上述类型,35,0.875
KUAKE-QIC,rubric,病因分析,就医建议,2,0.05
KUAKE-QIC,rubric,病因分析,治疗方案,1,0.025
KUAKE-QIC,rubric,病因分析,病因分析,5,0.125
KUAKE-QIC,rubric,病因分析,非上述类型,32,0.8
KUAKE-QIC,rubric,病情诊断,非上述类型,40,1.0
KUAKE-QIC,rubric,非上述类型,非上述类型,40,1.0
KUAKE-QQR,direct,后者是前者的语义子集,后者是前者的语义子集,45,0.5487804878048781
KUAKE-QQR,direct,后者是前者的语义子集,后者是前者的语义父集,6,0.07317073170731707
KUAKE-QQR,direct,后者是前者的语义子集,完全一致,29,0.35365853658536583
KUAKE-QQR,direct,后者是前者的语义子集,语义无直接关联,2,0.024390243902439025
KUAKE-QQR,direct,后者是前者的语义父集,后者是前者的语义子集,37,0.5967741935483871
KUAKE-QQR,direct,后者是前者的语义父集,后者是前者的语义父集,3,0.04838709677419355
KUAKE-QQR,direct,后者是前者的语义父集,完全一致,22,0.3548387096774194
KUAKE-QQR,direct,完全一致,后者是前者的语义子集,36,0.5806451612903226
KUAKE-QQR,direct,完全一致,后者是前者的语义父集,8,0.12903225806451613
KUAKE-QQR,direct,完全一致,完全一致,18,0.2903225806451613
KUAKE-QQR,direct,语义无直接关联,后者是前者的语义子集,121,0.6237113402061856
KUAKE-QQR,direct,语义无直接关联,后者是前者的语义父集,24,0.12371134020618557
KUAKE-QQR,direct,语义无直接关联,完全一致,39,0.20103092783505155
KUAKE-QQR,direct,语义无直接关联,语义无直接关联,10,0.05154639175257732
KUAKE-QQR,rubric,后者是前者的语义子集,后者是前者的语义子集,7,0.08536585365853659
KUAKE-QQR,rubric,后者是前者的语义子集,完全一致,75,0.9146341463414634
KUAKE-QQR,rubric,后者是前者的语义父集,后者是前者的语义子集,8,0.12903225806451613
KUAKE-QQR,rubric,后者是前者的语义父集,完全一致,54,0.8709677419354839
KUAKE-QQR,rubric,完全一致,后者是前者的语义子集,9,0.14516129032258066
KUAKE-QQR,rubric,完全一致,完全一致,53,0.8548387096774194
KUAKE-QQR,rubric,语义无直接关联,后者是前者的语义子集,27,0.13917525773195877
KUAKE-QQR,rubric,语义无直接关联,完全一致,167,0.8608247422680413
KUAKE-QTR,direct,完全不匹配或者没有参考价值,完全不匹配或者没有参考价值,16,0.25806451612903225
KUAKE-QTR,direct,完全不匹配或者没有参考价值,完全匹配,4,0.06451612903225806
KUAKE-QTR,direct,完全不匹配或者没有参考价值,部分匹配,42,0.6774193548387096
KUAKE-QTR,direct,完全匹配,完全不匹配或者没有参考价值,41,0.27702702702702703
KUAKE-QTR,direct,完全匹配,完全匹配,27,0.18243243243243243
KUAKE-QTR,direct,完全匹配,部分匹配,80,0.5405405405405406
KUAKE-QTR,direct,很少匹配有一些参考价值,完全不匹配或者没有参考价值,30,0.2857142857142857
KUAKE-QTR,direct,很少匹配有一些参考价值,完全匹配,6,0.05714285714285714
KUAKE-QTR,direct,很少匹配有一些参考价值,部分匹配,69,0.6571428571428571
KUAKE-QTR,direct,部分匹配,完全不匹配或者没有参考价值,26,0.3058823529411765
KUAKE-QTR,direct,部分匹配,完全匹配,9,0.10588235294117647
KUAKE-QTR,direct,部分匹配,部分匹配,50,0.5882352941176471
KUAKE-QTR,rubric,完全不匹配或者没有参考价值,完全不匹配或者没有参考价值,60,0.967741935483871
KUAKE-QTR,rubric,完全不匹配或者没有参考价值,完全匹配,2,0.03225806451612903
KUAKE-QTR,rubric,完全匹配,完全不匹配或者没有参考价值,102,0.6891891891891891
KUAKE-QTR,rubric,完全匹配,完全匹配,46,0.3108108108108108
KUAKE-QTR,rubric,很少匹配有一些参考价值,完全不匹配或者没有参考价值,89,0.8476190476190476
KUAKE-QTR,rubric,很少匹配有一些参考价值,完全匹配,16,0.1523809523809524
KUAKE-QTR,rubric,部分匹配,完全不匹配或者没有参考价值,66,0.7764705882352941
KUAKE-QTR,rubric,部分匹配,完全匹配,19,0.2235294117647059
