country,n_trial_locations
United States,825
China,196
France,155
Canada,137
Italy,131
Spain,115
United Kingdom,109
Australia,64
Germany,63
Taiwan,59
South Korea,57
Netherlands,41
Hong Kong,40
Japan,38
Poland,36
Sweden,36
Belgium,33
Argentina,31
Czechia,31
Norway,28
Switzerland,28
Denmark,26
Brazil,25
Portugal,25
Turkey (Türkiye),23
Singapore,19
Greece,19
Mexico,17
Puerto Rico,16
Chile,15
Bulgaria,14
Israel,13
New Zealand,12
Romania,12
Colombia,11
Serbia,11
Slovakia,11
Finland,10
Austria,9
Croatia,9
India,8
Hungary,8
Pakistan,8
Ireland,6
Thailand,6
Ukraine,5
Malaysia,5
United Arab Emirates,3
Russia,3
Vietnam,3
Indonesia,3
Saudi Arabia,3
South Africa,2
Peru,2
Cyprus,2
Fiji,2
Georgia,2
Egypt,2
Lithuania,2
Iceland,2
Philippines,1
Martinique,1
Burkina Faso,1
Niue,1
Monaco,1
Reunion,1
Slovenia,1
