task,target,n,accuracy_direct,accuracy_rubric,mean_confidence,mean_normalized_entropy,prompt_disagreement_rate,high_confidence_error_rate,max_task_support,support_gap,error_pressure,priority_score,priority_tier,recommended_action
KUAKE-QQR,后者是前者的语义父集,62,0.04838709677419355,0.0,0.47066222741118985,0.8782054868197983,0.5806451612903226,0.1774193548387097,194,0.6804123711340206,1.0,0.8488203457843122,P0-priority,补齐低频类别样本，并按场景来源做分层采样
KUAKE-QQR,后者是前者的语义子集,82,0.5487804878048781,0.08536585365853659,0.48767208854929467,0.8676345599249865,0.5609756097560976,0.13414634146341464,194,0.5773195876288659,0.9146341463414634,0.7847225368278438,P0-priority,补齐低频类别样本，并按场景来源做分层采样
KUAKE-QQR,语义无直接关联,194,0.05154639175257732,0.0,0.4533713617603608,0.8958567308946014,0.7164948453608248,0.1134020618556701,194,0.0,1.0,0.736645572983044,P0-priority,增加边界对比样本，统一标签定义与标注指南
KUAKE-QTR,部分匹配,85,0.5882352941176471,0.0,0.7302954105223182,0.46989172180029276,0.6823529411764706,0.6705882352941176,148,0.42567567567567566,1.0,0.7314664206716643,P0-priority,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QTR,很少匹配有一些参考价值,105,0.0,0.0,0.7495235821674112,0.4564316913180429,0.6952380952380952,0.780952380952381,148,0.29054054054054057,1.0,0.703680160657431,P0-priority,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QIC,指标解读,40,0.55,0.0,0.792257034057217,0.2987858920941916,0.975,0.9,40,0.0,1.0,0.6560071784188384,P0-priority,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QIC,病情诊断,40,0.025,0.0,0.8184507558709117,0.2793790335660128,1.0,0.95,40,0.0,1.0,0.6558758067132026,P0-priority,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QIC,后果表述,40,0.125,0.0,0.8614908424269796,0.2252377687075316,0.85,0.975,40,0.0,1.0,0.6225475537415064,P0-priority,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QIC,就医建议,40,0.4,0.1,0.7467267049067259,0.30866146536702427,0.95,0.7,40,0.0,0.9,0.6092322930734049,P0-priority,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QIC,病因分析,40,0.575,0.125,0.6989228778345472,0.38538098566314716,0.875,0.65,40,0.0,0.875,0.6020761971326294,P0-priority,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QIC,疾病描述,40,0.875,0.125,0.7234096122690341,0.3510741859327629,0.875,0.625,40,0.0,0.875,0.5952148371865525,P0-priority,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QIC,功效作用,40,0.35,0.125,0.7297230296208397,0.31291774125210614,0.825,0.625,40,0.0,0.875,0.5800835482504212,P0-priority,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QIC,注意事项,40,0.325,0.125,0.8236460721381041,0.23575546739434622,0.875,0.85,40,0.0,0.875,0.5721510934788693,P0-priority,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QIC,治疗方案,40,0.675,0.225,0.7297592001451754,0.32397851593005933,0.75,0.65,40,0.0,0.775,0.5260457031860118,P0-priority,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QTR,完全匹配,148,0.18243243243243243,0.3108108108108108,0.7344152776456906,0.46313362588785356,0.6216216216216216,0.581081081081081,148,0.0,0.6891891891891893,0.4960051035559491,P1-improve,优先复核标签规范，补充高置信反例与专家判例
KUAKE-QQR,完全一致,62,0.2903225806451613,0.8548387096774194,0.4989877357127002,0.8578028387864802,0.6129032258064516,0.0,194,0.6804123711340206,0.14516129032258063,0.4649011065002292,P1-improve,补齐低频类别样本，并按场景来源做分层采样
KUAKE-QTR,完全不匹配或者没有参考价值,62,0.25806451612903225,0.967741935483871,0.8066281744900876,0.4097202370567676,0.7419354838709677,0.0,148,0.5810810810810811,0.032258064516129004,0.323966715240473,P1-improve,补齐低频类别样本，并按场景来源做分层采样
KUAKE-QIC,非上述类型,40,0.075,1.0,0.8162794793226842,0.26465381586528375,0.925,0.0,40,0.0,0.0,0.19168076317305677,P2-monitor,增加边界对比样本，统一标签定义与标注指南
KUAKE-QIC,医疗费用,40,0.975,0.775,0.7050518027363477,0.2655861411138397,0.225,0.075,40,0.0,0.22499999999999998,0.18811722822276794,P2-monitor,保持监测，抽样复核新增数据与分布漂移
